id,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
55671,2008,1,20,7,1828.0,1805,2030.0,2010,WN,367,N338SW,62.0,65.0,45.0,20.0,23.0,LAS,PHX,256,5.0,12.0,0,N,0,0.0,0.0,0.0,0.0,20.0
55678,2008,1,20,7,1240.0,1215,1443.0,1425,WN,1362,N213WN,63.0,70.0,45.0,18.0,25.0,LAS,PHX,256,5.0,13.0,0,N,0,18.0,0.0,0.0,0.0,0.0
55690,2008,1,20,7,1815.0,1740,101.0,45,WN,2726,N217JC,226.0,245.0,206.0,16.0,35.0,LAS,PIT,1910,7.0,13.0,0,N,0,16.0,0.0,0.0,0.0,0.0
55691,2008,1,20,7,1615.0,1545,2350.0,2335,WN,2724,N440LV,275.0,290.0,257.0,15.0,30.0,LAS,PVD,2363,3.0,15.0,0,N,0,7.0,0.0,0.0,0.0,8.0
55693,2008,1,20,7,1131.0,1120,1834.0,1840,WN,1422,N497WN,243.0,260.0,226.0,-6.0,11.0,LAS,RDU,2027,3.0,14.0,0,N,0,,,,,
55698,2008,1,20,7,1506.0,1500,1621.0,1620,WN,875,N604SW,75.0,80.0,58.0,1.0,6.0,LAS,RNO,345,4.0,13.0,0,N,0,,,,,
55702,2008,1,20,7,1448.0,1430,1549.0,1550,WN,2377,N359SW,61.0,80.0,48.0,-1.0,18.0,LAS,RNO,345,3.0,10.0,0,N,0,,,,,
55704,2008,1,20,7,1558.0,1550,1715.0,1715,WN,3334,N606SW,77.0,85.0,58.0,0.0,8.0,LAS,RNO,345,5.0,14.0,0,N,0,,,,,
55713,2008,1,20,7,2310.0,2155,7.0,2255,WN,2034,N342SW,57.0,60.0,43.0,72.0,75.0,LAS,SAN,258,3.0,11.0,0,N,0,0.0,0.0,4.0,0.0,68.0
55714,2008,1,20,7,1957.0,1940,2056.0,2040,WN,2276,N748SW,59.0,60.0,45.0,16.0,17.0,LAS,SAN,258,3.0,11.0,0,N,0,0.0,0.0,0.0,0.0,16.0
55716,2008,1,20,7,2205.0,2100,2304.0,2200,WN,3231,N790SW,59.0,60.0,46.0,64.0,65.0,LAS,SAN,258,3.0,10.0,0,N,0,64.0,0.0,0.0,0.0,0.0
55721,2008,1,20,7,1208.0,1110,1636.0,1545,WN,3654,N755SA,148.0,155.0,125.0,51.0,58.0,LAS,SAT,1069,3.0,20.0,0,N,0,51.0,0.0,0.0,0.0,0.0
55722,2008,1,20,7,2059.0,2030,119.0,100,WN,3841,N483WN,140.0,150.0,124.0,19.0,29.0,LAS,SAT,1069,3.0,13.0,0,N,0,19.0,0.0,0.0,0.0,0.0
55723,2008,1,20,7,1904.0,1810,120.0,45,WN,176,N263WN,196.0,215.0,178.0,35.0,54.0,LAS,SDF,1624,4.0,14.0,0,N,0,35.0,0.0,0.0,0.0,0.0
55726,2008,1,20,7,1146.0,1140,1421.0,1420,WN,1178,N741SA,155.0,160.0,124.0,1.0,6.0,LAS,SEA,866,6.0,25.0,0,N,0,,,,,
55728,2008,1,20,7,1432.0,1410,1605.0,1540,WN,12,N338SW,93.0,90.0,71.0,25.0,22.0,LAS,SFO,414,9.0,13.0,0,N,0,0.0,0.0,3.0,0.0,22.0
55733,2008,1,20,7,1041.0,955,1216.0,1125,WN,2447,N352SW,95.0,90.0,78.0,51.0,46.0,LAS,SFO,414,5.0,12.0,0,N,0,0.0,46.0,5.0,0.0,0.0
55738,2008,1,20,7,1434.0,1410,1552.0,1535,WN,542,N788SA,78.0,85.0,65.0,17.0,24.0,LAS,SJC,386,2.0,11.0,0,N,0,3.0,0.0,0.0,0.0,14.0
55746,2008,1,20,7,2033.0,2025,2237.0,2240,WN,804,N464WN,64.0,75.0,51.0,-3.0,8.0,LAS,SLC,368,3.0,10.0,0,N,0,,,,,
55749,2008,1,20,7,1706.0,1650,1917.0,1915,WN,3234,N436WN,71.0,85.0,51.0,2.0,16.0,LAS,SLC,368,3.0,17.0,0,N,0,,,,,
55754,2008,1,20,7,1210.0,1115,1343.0,1250,WN,1518,N505SW,93.0,95.0,68.0,53.0,55.0,LAS,SMF,397,4.0,21.0,0,N,0,0.0,0.0,0.0,14.0,39.0
55756,2008,1,20,7,2206.0,2140,2338.0,2305,WN,2206,N330SW,92.0,85.0,70.0,33.0,26.0,LAS,SMF,397,7.0,15.0,0,N,0,13.0,0.0,7.0,0.0,13.0
55758,2008,1,20,7,1340.0,1330,1504.0,1500,WN,3777,N304SW,84.0,90.0,71.0,4.0,10.0,LAS,SMF,397,5.0,8.0,0,N,0,,,,,
